MIT,Pomona-Pitzer,George Fox,Wesleyan,Trine,DePauw,Connecticut College,NYU,Washington and Lee,Amherst,St. Olaf,Tufts,Middlebury,Vassar,Coast Guard,Colorado College,Johns Hopkins,Calvin,Wartburg,Emory,Carnegie Mellon,RPI,SUNY Geneseo,Lynchburg,Rowan,Carleton
0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,0,2,1,1,5,1,3,3,3,1,0,0,0,0,0,0,1,0,0,0,0
1,1,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,1,3,1,1,0,1,1,3,1,2,3,1,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,2,0,1,0,1,1,1,1,0,0,0,0,1,1,1,1,3,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,0,0,0,0,2,1,4,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0
1,0,0,0,0,0,0,2,1,4,1,2,0,1,0,0,0,0,0,1,0,2,1,0,0,0
1,0,0,0,0,0,1,2,1,4,1,2,2,0,1,0,0,0,0,1,1,2,1,1,0,0
2,0,0,1,0,0,4,3,1,3,1,2,3,2,0,1,1,1,1,1,1,2,1,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,1,0,0,2,0,1,2,0,0,0
0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0
0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1,1,0,0
0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
