"","PL","Team"
"1",1,"Dartmouth"
"2",2,"MIT"
"3",3,"Vermont"
"4",4,"Colby-Sawyer"
"5",1,"U. of Chicago"
"6",2,"Washington U."
"7",3,"Indiana State"
"8",4,"DePauw"
"9",5,"Grinnell"
"10",6,"Run Club at IU"
"11",7,"Central College"
"12",8,"Elmhurst"
"13",9,"Wis.-Whitewater"
"14",10,"Wis.-Oshkosh"
"15",11,"Trine"
"16",12,"Centre"
"17",13,"Kalamazoo"
"18",14,"St. Mary-of-the-Woods"
"19",15,"Anderson (Ind.)"
"20",16,"Webster"
"21",NA,"Aurora"
"22",1,"MIT"
"23",2,"NYU"
"24",3,"Williams"
"25",4,"Washington and Lee"
"26",5,"Amherst"
"27",6,"St. Olaf"
"28",7,"Tufts"
"29",8,"Middlebury"
"30",9,"Connecticut College"
"31",10,"Vassar"
"32",11,"Coast Guard"
"33",12,"Wis.-Oshkosh"
"34",13,"Smith"
"35",14,"Bates"
"36",15,"Bowdoin"
"37",16,"Colby"
"38",17,"Misericordia"
"39",18,"Wellesley"
"40",19,"St. Lawrence"
"41",20,"Suffolk"
"42",21,"Keene State"
"43",22,"Union (N.Y.)"
"44",23,"Trinity (Conn.)"
"45",24,"Gordon"
"46",25,"Westfield State"
"47",26,"Brandeis"
"48",27,"Roger Williams"
"49",28,"Wesleyan"
"50",29,"Mount Holyoke"
"51",30,"Denison"
"52",31,"Springfield"
"53",32,"Salve Regina"
"54",33,"UMass Dartmouth"
"55",34,"Montclair State"
"56",35,"Eastern Conn. St."
"57",36,"Plattsburgh St."
"58",37,"Marywood"
"59",NA,"USMMA"
"60",1,"MIT"
"61",2,"Coast Guard"
"62",3,"Smith"
"63",4,"Mount Holyoke"
"64",5,"Wellesley"
"65",6,"Springfield"
"66",7,"Babson"
"67",8,"Clark (Mass.)"
"68",9,"WPI"
"69",10,"Salve Regina"
"70",11,"Emerson"
"71",12,"Wheaton (Mass.)"
"72",1,"MIT"
"73",2,"Tufts"
"74",3,"Bates"
"75",4,"Colby"
"76",5,"Suffolk"
"77",6,"Bowdoin"
"78",7,"Keene State"
"79",8,"Wellesley"
"80",9,"Brandeis"
"81",10,"Gordon"
"82",11,"Clark (Mass.)"
"83",12,"U. of New England"
"84",13,"WPI"
"85",14,"Endicott"
"86",15,"UMass Dartmouth"
"87",16,"Babson"
"88",17,"Emerson"
"89",18,"Wheaton (Mass.)"
"90",19,"Maine-Farmington"
"91",20,"Framingham St."
"92",21,"Plymouth State"
"93",22,"Southern Maine"
"94",23,"Colby-Sawyer"
"95",24,"Husson"
"96",25,"Simmons"
"97",26,"Thomas College"
"98",27,"Worcester State"
"99",28,"Wentworth"
"100",29,"Lasell"
"101",30,"St. Joseph's (Me.)"
"102",1,"U. of Chicago"
"103",2,"St. Francis (Ill.)"
"104",3,"Governors State"
"105",4,"St. Ambrose"
"106",5,"DuPage"
"107",6,"Trinity Christian"
"108",7,"Moraine Valley CC"
"109",8,"Joliet Junior College"
"110",9,"Waubonsee CC"
"111",10,"Dominican (Ill.)"
"112",NA,"USF Alumni"
"113",1,"U. of Chicago"
"114",2,"Olivet Nazarene"
"115",3,"Governors State"
"116",4,"Hanover"
"117",5,"Bethel (Ind.)"
"118",6,"St. Ambrose"
"119",7,"Purdue Northwest"
"120",8,"St. Xavier"
"121",9,"DuPage"
"122",10,"Joliet Junior College"
"123",11,"Trinity Christian"
"124",1,"Michigan"
"125",2,"Indiana State"
"126",3,"Colorado College"
"127",4,"U. of Chicago"
"128",5,"NYU"
"129",6,"Miami (Ohio)"
"130",7,"Johns Hopkins"
"131",8,"Calvin"
"132",9,"Washington U."
"133",10,"Wis.-La Crosse"
"134",11,"Vermont"
"135",12,"Eastern Illinois"
"136",13,"Illinois-Springfield"
"137",14,"Milwaukee"
"138",15,"Wartburg"
"139",16,"Coast Guard"
"140",17,"Marian (Ind.)"
"141",18,"Hope"
"142",19,"Indiana East"
"143",20,"Baldwin Wallace"
"144",21,"Denison"
"145",22,"Cornell College"
"146",23,"Oberlin"
"147",24,"Roger Williams"
"148",25,"Evansville"
"149",26,"Millikin"
"150",27,"Greenville"
"151",28,"Rose-Hulman"
"152",29,"St. Mary-of-the-Woods"
"153",30,"Anderson (Ind.)"
"154",1,"U. of Chicago"
"155",2,"Washington U."
"156",3,"Indiana State"
"157",4,"DePauw"
"158",5,"Grinnell"
"159",6,"Run Club at IU"
"160",7,"Central College"
"161",8,"Elmhurst"
"162",9,"Wis.-Whitewater"
"163",10,"Wis.-Oshkosh"
"164",11,"Trine"
"165",12,"Centre"
"166",13,"Kalamazoo"
"167",14,"St. Mary-of-the-Woods"
"168",15,"Anderson (Ind.)"
"169",16,"Webster"
"170",NA,"Aurora"
"171",1,"U. of Chicago"
"172",2,"NYU"
"173",3,"Washington U."
"174",4,"Emory"
"175",5,"Carnegie Mellon"
"176",6,"Case Western"
"177",7,"Rochester"
"178",8,"Brandeis"
"179",1,"U. of Chicago"
"180",2,"Wartburg"
"181",1,"Amherst"
"182",2,"Williams"
"183",3,"Wesleyan"
"184",1,"Williams"
"185",2,"RPI"
"186",3,"New Paltz St."
"187",4,"SUNY Delhi"
"188",5,"Hartford"
"189",1,"UAlbany"
"190",2,"Williams"
"191",3,"Vermont"
"192",4,"RPI"
"193",5,"Plattsburgh St."
"194",1,"Williams"
"195",2,"Keene State"
"196",3,"Wellesley"
"197",4,"Westfield State"
"198",5,"Tufts"
"199",6,"Mount Holyoke"
"200",7,"Babson"
"201",8,"St. Anselm"
"202",9,"UMass Dartmouth"
"203",10,"Endicott"
"204",11,"Eastern Conn. St."
"205",12,"Southern Maine"
"206",13,"Plymouth State"
"207",14,"Wheaton (Mass.)"
"208",15,"Hartford"
"209",16,"Western NE"
"210",17,"RIC"
"211",18,"Assumption"
"212",19,"Wentworth"
"213",20,"UMass Boston"
"214",21,"Castleton"
"215",22,"Fitchburg St."
"216",23,"Dean (Mass.)"
"217",1,"Williams"
"218",2,"Wesleyan"
"219",3,"Westfield State"
"220",4,"Roger Williams"
"221",5,"Salve Regina"
"222",6,"Springfield"
