MIT,Pomona-Pitzer,George Fox,Wesleyan,Trine,DePauw,Connecticut College,NYU,Washington and Lee,Amherst,St. Olaf,Tufts,Middlebury,Vassar,Coast Guard,Colorado College,Johns Hopkins,Calvin,Wartburg,Emory,Carnegie Mellon,RPI,SUNY Geneseo,Lynchburg,Rowan,Carleton
0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
28,5,3,0,0,0,18,25,23,30,21,21,20,20,16,0,0,0,0,0,0,4,0,0,0,0
11,14,12,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,24,22,18,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,28,26,28,13,3,0,6,4,8,2,3,1,1,0,0,0,0,0,0,0,3,0,0,0,0
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,10,0,11,0,2,5,0,1,0,0,0,0,10,4,8,7,3,0,0
3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
5,0,0,0,0,0,0,10,2,10,0,0,2,0,0,0,0,0,0,7,1,5,4,0,0,0
6,0,0,0,0,0,0,8,3,9,1,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0
8,0,0,0,0,0,0,15,5,14,3,3,5,0,0,0,0,0,0,9,3,8,6,2,0,0
9,0,0,0,0,0,16,25,6,18,4,3,7,3,0,12,8,7,0,8,2,11,5,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,11,7,6,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0
0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
0,0,0,0,0,0,0,5,1,7,0,0,1,0,0,0,0,0,0,6,0,4,3,0,0,0
0,0,0,0,0,0,0,18,8,20,0,11,14,9,10,0,1,0,0,19,13,17,16,12,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
